
 
 GLOSSAIRE DES STATISTIQUES 
 
POS:Position 
 GP:Games Played 
 AB:At Bats 
 R:Runs 
 H:Hits 
 AVG:Batting Average 
 2B:Doubles
3B :Triples 
  HR:Home Runs 
 RBI:Runs Batted In 
 TB:Total Bases 
 BB:Walks 
 K:Strikeouts 
 SB:Stolen Bases 
OBP:On Base Percentage 
 SLG:Slugging Percentage 
 OPS:OPB Pct + SLG Pct 
 WAR:Wins Above Replacement 
 
STATISTIQUES DES SERIES ELIMINATOIRES 2021 DE TOUS LES JOUEURS DE BATON (BASEBALL) DE TOUTES LES DIVISIONS 
 
ARIZONA DIAMONDBACKS
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Lane Thomas;76;248;24;67;16;0;7;35;104;15;64;2;.270;.312;.419;.731;0.5
Yadiel Hernandez;85;226;31;54;7;1;3;24;72;13;64;12;.239;.300;.319;.618;1.0
Victor Robles;47;182;15;52;12;2;3;18;77;2;38;1;.286;.294;.423;.717;-0.5
Luis Garci;40;124;12;27;4;2;0;8;35;5;32;1;.218;.260;.282;.542;-0.6
Alcides Escobar;27;78;8;15;1;0;3;5;25;9;26;0;.192;.284;.321;.605;-0.1
Riley Adams;28;77;5;15;2;0;0;7;17;8;21;1;.195;.276;.221;.497;-0.4
Ehire Adrianz;22;59;6;18;1;1;0;2;21;0;8;3;.305;.305;.356;.661;-0.3
Dee Strange-Gordon;10;25;2;2;0;0;0;2;2;1;9;1;.080;.115;.080;.195;-0.7
Lucius Fox;8;17;0;1;0;0;0;2;1;2;5;0;.059;.158;.059;.217;-0.4
TOTAL;100;3344;384;825;165;13;77;367;1247;313;722;40;.247;.316;.373;.689;

 
